year,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
2021,0,1.14,0.82,0.39,0.01,0.03,0.01,2.64,3.64,4.7,1.43,-0.06,0.75,0.91,0.37,1.69
2022,0,0.87,0.65,0.19,-0.02,-0.0,-0.01,2.53,3.59,3.6,1.11,-0.05,0.77,0.64,0.28,0.98
2023,0,1.03,0.78,0.39,0.03,0.04,,2.62,4.27,4.31,1.61,0.02,0.66,1.03,0.39,1.79
2017,1,1.57,1.36,0.69,0.08,0.07,0.06,4.38,5.46,6.23,2.39,0.17,0.59,1.14,0.61,2.7
2018,1,1.72,1.18,0.43,0.02,0.05,0.08,3.14,3.85,4.87,2.11,0.06,0.73,1.17,0.5,2.16
2019,1,2.1,1.33,0.66,0.05,0.07,0.09,,5.74,6.07,2.39,0.22,0.64,1.22,0.54,2.93
2020,1,2.26,1.78,0.7,0.05,0.07,0.07,4.06,5.94,6.86,3.1,0.37,0.63,1.37,0.68,3.29
2021,1,1.77,1.23,0.55,0.07,0.06,0.05,4.27,5.58,6.45,2.09,0.31,0.72,1.15,0.54,2.42
2022,1,2.49,1.83,0.88,0.08,0.11,,5.2,6.97,7.15,2.65,0.44,0.56,1.62,0.72,3.72
2023,1,2.05,1.77,0.77,0.1,0.09,0.11,4.68,5.75,7.23,2.87,0.3,0.53,1.48,0.66,3.24
2017,1,1.31,1.32,0.43,0.05,0.01,0.06,3.41,4.73,5.31,1.89,0.18,0.67,1.0,0.47,2.32
2018,1,1.66,1.53,0.53,0.03,0.05,0.08,3.83,5.27,5.87,2.26,0.18,0.59,1.33,0.58,2.96
2019,1,1.96,1.41,0.75,0.05,0.05,0.06,4.19,5.72,6.29,2.26,0.18,0.61,1.34,0.62,2.91
2020,1,2.1,1.4,0.54,0.13,0.04,0.07,4.04,4.64,5.45,2.4,0.2,0.68,1.14,0.53,3.04
2021,1,1.81,1.2,0.73,#DIV/0!,0.06,0.08,3.94,5.91,6.65,2.2,0.27,0.59,1.24,0.56,
2022,1,2.13,1.44,,0.07,0.08,0.07,3.94,6.09,6.36,2.23,0.25,0.59,,0.57,3.04
2023,1,1.84,1.62,0.6,#DIV/0!,0.05,0.07,4.38,5.31,6.34,2.43,0.22,0.59,1.22,0.57,2.58
2017,0,1.1,0.83,0.34,0.02,0.03,0.03,2.99,3.43,3.94,1.5,0.07,0.78,0.94,0.36,1.92
2018,0,1.18,0.71,0.25,0.04,0.01,0.02,2.37,,4.94,1.3,-0.04,0.77,0.79,0.29,1.32
2019,0,1.3,0.86,0.36,0.02,0.01,0.05,2.12,4.43,4.7,1.44,0.04,0.75,0.96,0.37,1.39
2020,0,1.03,0.65,0.21,-0.05,,-0.0,2.07,2.87,3.37,1.0,0.03,0.83,0.72,0.28,1.35
2021,1,1.4,1.37,0.6,0.09,0.04,0.07,3.45,4.17,5.66,1.97,0.15,0.68,1.24,0.53,2.5
2022,1,1.96,1.62,0.67,0.11,0.08,0.12,4.39,,5.79,2.59,0.36,0.65,1.3,0.6,2.79
2023,1,1.36,1.22,0.61,0.06,0.04,0.07,3.84,4.8,5.56,2.01,0.17,0.71,1.1,0.48,1.75
2017,1,1.35,0.99,0.5,0.05,0.02,0.04,3.26,4.84,5.37,1.61,0.14,0.72,1.0,0.46,2.03
2018,1,1.97,1.52,0.68,#DIV/0!,0.05,0.1,4.16,5.64,,2.4,0.32,0.58,1.32,0.68,2.9
2019,1,1.85,1.33,0.63,0.04,0.04,0.04,4.22,5.47,6.12,2.23,0.25,0.68,1.17,0.58,2.86
2020,1,2.4,1.77,0.77,0.06,0.1,0.06,4.7,7.39,,2.71,0.28,0.61,,0.72,3.54
2021,1,2.15,1.5,0.75,0.09,,0.07,,6.14,7.05,2.55,0.32,0.61,1.31,0.72,2.97
2022,1,2.41,1.83,0.77,0.12,0.08,0.14,4.93,6.49,7.28,2.81,0.39,0.54,1.46,0.72,3.77
2023,1,2.0,1.67,0.79,0.08,0.09,0.08,4.7,6.12,6.91,2.98,0.37,0.57,1.35,0.7,3.6
2017,0,1.04,0.92,0.31,-0.03,0.0,0.02,2.36,4.1,3.92,1.13,-0.02,0.71,0.69,0.34,1.39
2018,0,1.11,0.68,0.17,-0.01,-0.01,-0.01,2.48,3.59,3.79,1.12,-0.02,0.75,,0.26,1.22
2019,0,0.78,0.68,0.27,-0.06,-0.01,-0.01,2.31,3.42,3.25,1.13,-0.07,0.75,0.77,0.3,1.35
2020,0,1.05,0.52,0.26,-0.01,-0.0,0.0,2.6,3.46,3.62,0.96,-0.04,0.75,0.76,0.3,1.43
2021,0,0.84,0.73,0.25,-0.01,0.01,0.03,2.22,3.15,4.03,1.04,-0.09,0.78,0.77,0.27,0.98
2022,0,0.86,0.68,0.27,-0.06,0.0,0.02,2.12,3.56,3.3,1.18,-0.02,0.82,0.8,0.25,1.17
2023,0,1.03,0.63,0.22,-0.03,0.02,0.03,1.97,3.39,4.24,0.88,-0.04,0.85,0.58,0.31,0.72
2017,1,1.56,1.21,0.48,0.04,0.04,0.07,3.4,5.29,5.06,1.8,0.15,0.67,0.93,0.52,2.77
2018,1,2.21,1.64,0.72,0.12,0.08,0.09,4.66,6.31,6.43,2.68,0.3,0.6,1.35,0.67,3.19
2019,1,2.19,1.71,0.78,0.08,0.09,0.1,4.47,5.69,7.33,2.61,0.26,0.58,1.35,0.64,3.44
2020,1,2.04,1.44,0.71,#DIV/0!,0.06,0.08,4.13,4.94,6.57,2.5,0.29,0.56,1.24,0.64,2.73
2021,1,2.4,1.63,0.8,0.07,0.08,0.07,,6.09,6.36,2.73,0.25,0.57,1.4,0.66,3.41
2022,1,1.93,1.63,0.76,0.08,0.04,,4.18,6.05,6.25,2.14,0.33,0.6,1.09,0.61,3.07
2023,1,,1.22,0.59,-0.04,0.01,0.08,3.57,4.97,5.75,1.99,0.18,0.67,1.04,0.57,2.47
2017,1,1.79,1.3,0.5,-0.01,0.03,0.06,3.41,5.05,6.04,1.96,0.19,0.69,1.04,0.47,2.58
2018,1,2.26,1.7,0.83,0.05,0.1,0.11,4.99,6.17,6.72,2.53,0.39,0.55,1.38,0.69,3.23
2019,1,1.95,1.41,0.69,0.04,0.04,0.08,4.38,5.48,5.87,2.21,0.3,0.67,1.32,0.65,2.69
2020,1,1.48,0.98,0.51,#DIV/0!,0.02,0.04,3.3,4.37,5.37,1.59,0.25,0.73,1.06,0.58,2.03
2021,1,1.73,1.13,0.63,0.06,0.07,0.06,3.42,4.66,,2.0,0.17,0.66,1.1,0.53,2.39
2022,1,2.4,1.64,0.77,0.08,0.08,0.1,4.07,5.72,6.9,2.55,0.26,0.63,1.3,0.65,3.24
2023,1,0.95,0.69,0.35,#DIV/0!,0.03,0.03,2.74,,4.19,1.65,-0.03,0.7,1.04,0.39,1.55
2017,1,1.97,1.45,0.67,0.05,0.05,0.09,4.36,,5.93,2.24,0.28,0.55,1.21,0.54,3.07
2018,1,1.86,1.53,0.68,0.06,0.04,,3.86,6.02,6.38,2.3,0.31,0.57,1.26,0.51,3.01
2019,0,1.18,0.98,0.36,-0.0,0.02,0.04,2.94,3.86,4.73,1.45,0.17,0.72,0.91,,2.02
2020,0,0.97,0.65,0.11,-0.04,0.01,0.0,2.53,3.81,3.6,1.1,-0.02,0.81,0.78,0.25,1.21
2021,1,2.06,1.72,0.74,0.1,0.05,0.09,4.82,5.94,7.15,3.13,0.33,0.6,1.4,0.66,3.49
2022,1,1.74,1.62,0.59,0.06,0.09,0.08,3.47,5.34,5.91,2.29,0.25,0.64,1.12,0.55,2.89
2023,0,1.0,0.8,0.25,-0.03,-0.01,0.04,2.45,3.2,4.08,1.12,-0.02,0.79,0.92,0.34,1.15
2017,0,0.55,0.69,0.2,-0.06,0.01,0.01,2.52,2.75,4.05,1.1,0.03,0.83,0.74,0.34,1.22
2018,0,1.05,0.92,0.41,-0.0,0.01,,2.74,4.55,4.3,1.25,0.01,0.78,0.83,,1.68
2019,0,1.25,1.12,0.49,0.03,0.03,0.0,,4.84,4.68,1.88,0.14,0.68,1.11,0.44,2.41
2020,0,0.86,0.44,0.16,0.03,0.01,-0.03,2.62,3.16,4.03,1.24,0.07,0.77,0.72,0.19,1.13
2021,0,1.44,0.83,0.45,0.03,0.03,0.02,2.45,4.63,4.81,1.7,0.1,0.72,1.04,0.35,2.23
2022,0,1.9,1.46,0.66,0.07,0.03,0.06,3.98,5.43,6.33,1.97,0.26,0.6,1.17,0.54,
2023,0,1.49,1.07,0.56,0.01,0.02,0.07,3.6,4.89,5.45,1.92,0.24,0.62,0.99,0.46,2.43
2017,1,1.48,1.23,0.64,0.07,0.05,0.05,,5.02,5.94,2.22,0.18,0.74,1.15,0.51,2.87
2018,1,1.35,0.94,0.46,-0.01,0.02,0.04,3.22,3.71,4.3,1.55,0.07,0.73,1.01,0.42,1.9
2019,1,2.18,1.67,0.72,0.08,0.1,0.1,4.05,6.17,7.17,2.4,0.3,0.63,1.35,0.64,2.93
2020,1,2.47,1.77,0.78,0.16,0.05,0.1,4.67,6.13,7.23,2.47,0.37,0.57,1.34,0.75,3.39
2021,1,1.91,1.46,0.59,0.07,0.05,0.01,4.86,,5.83,2.05,0.2,0.61,1.33,0.57,2.77
2022,1,2.0,1.54,0.89,0.03,0.08,0.09,4.47,6.13,6.5,2.66,0.36,0.54,1.38,0.69,3.9
2023,1,1.94,1.44,0.65,0.12,0.06,0.05,3.71,5.06,6.21,,0.27,0.66,1.36,0.55,2.44
2017,1,1.66,1.2,0.58,0.06,0.04,0.03,3.83,4.77,5.24,2.04,0.08,0.67,1.14,0.56,2.34
2018,1,1.82,1.34,0.63,0.06,,0.06,,5.58,5.6,2.16,0.3,0.63,1.13,0.57,2.77
2019,1,1.77,1.29,0.69,0.04,0.06,0.09,3.71,5.0,6.14,1.81,0.24,0.59,1.26,,2.6
2020,1,1.56,1.25,0.47,-0.02,0.03,0.07,3.78,4.59,5.5,1.99,0.24,0.63,1.01,0.4,2.11
2021,0,0.71,0.48,0.13,-0.08,-0.0,0.01,2.07,3.34,3.43,0.91,-0.01,0.77,0.57,0.21,1.14
2022,0,0.92,0.54,0.1,-0.08,-0.0,0.02,1.98,2.8,2.99,1.16,-0.11,0.81,0.76,0.29,0.78
2023,0,1.47,0.91,0.52,0.02,0.04,0.02,3.06,4.69,4.7,1.73,0.07,0.68,1.04,0.46,2.04
2017,0,1.43,0.96,0.51,0.01,0.04,0.07,3.5,5.15,4.84,2.03,0.24,0.69,1.22,0.44,2.05
2018,0,1.58,1.07,0.48,0.03,0.05,0.03,3.55,4.64,4.45,1.61,0.09,0.74,1.11,,1.96
2019,0,0.99,0.66,0.41,#DIV/0!,-0.02,-0.01,2.22,3.12,3.41,1.17,-0.05,0.75,0.94,0.3,1.17
2020,0,1.54,0.98,0.49,0.01,,0.02,3.28,,5.55,1.57,0.12,0.71,1.05,0.49,2.04
2021,0,1.43,1.16,0.61,0.06,0.05,0.06,3.89,5.28,5.45,1.8,0.1,0.66,1.0,0.52,2.38
2022,0,,1.45,0.78,0.04,0.05,0.07,3.76,4.65,6.43,2.12,0.23,0.68,1.28,0.65,2.87
2023,0,1.32,1.07,0.44,0.0,0.02,0.05,3.08,4.58,4.5,1.91,0.08,0.72,0.99,,2.14
2017,1,1.95,1.54,0.79,0.07,0.07,,4.21,5.56,6.43,2.38,0.3,0.59,1.32,0.54,3.08
2018,1,1.67,1.22,0.55,0.03,0.05,0.07,3.75,4.88,5.04,1.63,0.18,0.6,,0.57,2.13
2019,1,1.77,1.64,0.8,0.07,0.07,0.08,4.21,6.49,6.72,2.35,0.24,0.55,1.28,0.64,3.35
2020,1,2.29,1.78,0.81,0.14,0.07,0.1,4.62,6.37,7.61,2.58,0.38,0.56,1.37,0.68,3.99
2021,1,1.91,1.59,0.82,0.06,0.08,0.08,4.67,6.48,5.76,2.26,0.29,0.64,1.36,0.57,3.33
2022,1,1.27,,0.34,0.0,0.0,0.01,3.23,4.47,4.17,1.45,0.08,0.73,0.91,0.43,1.82
2023,1,2.22,1.69,0.8,0.07,0.06,0.11,4.53,6.27,6.22,2.59,0.28,0.58,,0.72,3.23
2017,0,1.07,0.56,0.14,-0.0,0.02,-0.01,1.97,3.66,3.53,1.27,0.05,0.8,0.85,0.35,1.48
2018,0,1.25,1.02,0.39,0.0,0.02,0.02,2.99,4.03,4.29,1.52,0.07,0.8,0.88,0.4,1.71
2019,0,1.24,0.78,0.33,-0.04,-0.02,-0.01,,3.37,4.16,1.28,0.08,0.72,0.88,0.35,1.27
2020,0,0.86,0.44,0.26,#DIV/0!,0.02,0.02,2.76,4.0,3.52,1.24,0.04,0.77,0.82,0.34,1.44
2021,1,2.14,1.36,0.77,0.11,0.06,0.09,,5.52,6.18,2.45,0.18,0.6,1.18,0.65,2.86
2022,1,2.17,1.6,0.74,0.07,0.08,0.05,4.01,6.47,6.01,2.57,0.35,0.52,1.19,0.67,2.89
2023,1,1.51,1.31,0.67,0.06,0.03,0.07,4.29,5.12,,2.15,0.1,0.64,1.1,0.55,2.66
2017,0,1.09,1.05,0.23,#DIV/0!,0.01,0.04,2.46,3.72,4.0,1.41,0.06,0.79,0.78,0.39,1.83
2018,0,1.56,1.09,0.43,0.0,0.03,0.05,3.01,4.72,5.12,1.5,0.15,0.71,0.97,0.45,1.91
2019,0,0.79,0.77,0.22,-0.05,0.01,0.01,2.51,3.12,3.93,1.35,0.01,0.82,0.87,0.33,1.03
2020,0,1.34,0.8,0.28,0.01,0.03,0.0,2.93,3.95,4.59,1.49,0.02,0.74,0.87,0.38,1.41
2021,0,0.72,0.42,0.32,-0.07,0.01,-0.01,2.23,2.92,3.71,0.88,0.01,0.84,0.72,0.28,1.13
2022,0,0.92,0.62,0.13,-0.04,-0.03,-0.02,2.14,3.67,4.1,0.8,0.02,0.75,0.66,0.26,0.99
2023,0,1.5,1.06,0.46,-0.04,0.05,0.02,3.84,4.74,4.74,1.7,0.17,0.61,1.12,0.42,2.11
2017,1,1.55,1.17,0.59,0.04,0.02,0.06,3.69,4.9,5.78,2.13,0.15,,1.1,0.52,2.32
2018,1,1.52,1.06,0.56,0.05,0.04,0.06,3.52,5.5,5.63,2.07,0.09,0.63,1.13,0.43,2.17
2019,1,2.44,1.78,0.81,0.13,0.08,0.12,4.47,5.81,6.15,2.66,0.29,0.52,1.47,0.6,3.46
2020,1,1.65,1.44,0.71,0.05,0.09,0.11,4.0,5.52,6.59,2.25,0.21,0.65,1.26,0.54,2.89
2021,1,1.82,1.46,0.74,0.04,0.07,0.06,4.33,,5.34,2.18,0.11,0.57,1.1,0.59,2.89
2022,1,2.04,1.64,0.76,0.05,0.07,0.11,4.73,6.03,6.66,2.54,0.34,0.58,1.38,0.66,2.97
2023,1,1.89,1.33,0.54,0.13,0.05,0.07,3.56,5.73,,1.88,0.23,0.63,1.36,0.61,2.34
2017,0,0.69,0.47,0.13,-0.06,-0.0,-0.02,1.97,2.88,3.54,0.86,-0.07,0.84,0.58,0.25,0.99
2018,0,1.62,1.17,0.48,0.02,0.03,0.04,3.64,5.24,5.82,1.76,0.22,0.71,1.09,0.55,2.6
2019,0,1.36,1.27,0.37,0.01,0.04,0.06,3.15,4.34,5.22,2.14,0.05,0.68,1.06,0.43,1.96
2020,0,0.8,0.41,0.14,-0.04,-0.0,-0.01,1.87,2.87,3.19,1.1,-0.2,0.81,0.71,0.29,0.82
2021,1,1.84,1.23,0.61,0.05,0.06,0.08,4.26,4.96,5.04,2.09,0.13,0.74,1.12,0.57,2.86
2022,1,1.41,1.09,0.5,-0.01,0.02,0.04,3.01,3.74,4.7,1.72,0.17,0.77,1.0,0.46,2.21
2023,1,1.84,1.33,0.56,0.04,0.05,0.06,3.74,5.45,5.8,2.13,0.29,0.71,1.07,0.47,2.48
2017,1,1.94,1.52,0.64,0.06,0.05,0.07,4.28,5.49,6.52,2.43,0.34,0.63,1.19,0.6,2.74
2018,1,2.06,1.58,0.79,0.11,0.06,0.08,4.2,6.6,7.1,2.62,0.29,0.58,1.35,0.72,3.23
2019,1,1.84,1.53,0.79,0.08,0.08,0.11,4.82,5.59,6.51,2.39,0.19,0.62,1.35,0.6,2.72
2020,1,1.62,1.45,0.6,0.09,0.06,0.07,3.65,4.82,5.66,2.41,0.27,0.62,1.15,0.51,2.27
2021,1,2.13,1.45,0.67,0.03,0.07,,3.92,6.17,5.96,2.43,0.28,0.54,1.29,0.61,2.48
2022,1,2.32,1.52,0.86,0.14,0.08,0.12,4.46,7.1,7.53,2.85,0.34,0.52,1.43,0.74,
2023,1,1.97,1.65,0.61,0.05,0.04,0.07,3.76,4.97,5.3,1.91,0.3,0.6,1.16,0.55,2.73
2017,0,0.95,0.45,0.27,#DIV/0!,-0.0,-0.03,2.36,3.82,3.44,0.92,-0.05,0.82,0.7,0.33,1.51
2018,0,1.64,1.06,0.44,0.03,0.05,0.06,,4.83,6.12,2.02,0.16,0.65,,0.45,2.08
2019,0,1.05,0.94,0.35,-0.02,0.01,0.03,2.78,4.4,3.93,1.51,0.0,0.77,0.82,0.35,1.54
2020,0,1.55,1.22,0.58,0.07,,0.05,3.47,4.26,6.26,2.03,0.22,0.69,1.11,0.52,2.25
2021,0,0.86,0.34,0.07,-0.02,0.0,,2.51,3.16,3.42,0.73,-0.02,0.76,0.83,0.3,1.55
2022,0,0.93,0.71,0.23,-0.03,-0.01,0.02,2.17,4.17,3.2,1.13,0.04,0.78,0.73,0.32,1.17
2023,0,0.87,0.37,0.12,-0.0,-0.02,-0.04,1.46,2.8,2.98,0.85,-0.11,0.88,0.64,0.16,0.9
2017,0,0.8,0.52,0.08,-0.07,-0.02,-0.03,2.19,3.46,3.36,1.13,-0.0,0.81,0.74,0.27,0.68
2018,0,1.15,0.62,0.24,-0.07,0.01,-0.04,2.67,3.04,4.46,1.27,0.05,0.75,0.71,0.25,1.53
2019,0,1.51,0.97,0.53,0.05,0.05,0.04,3.15,3.89,4.64,1.65,0.1,0.79,0.99,0.37,2.16
2020,0,1.35,1.03,0.45,0.05,0.03,0.04,3.36,5.09,4.67,1.95,0.24,0.69,0.98,0.42,2.12
2021,0,0.86,0.44,0.12,-0.03,-0.03,-0.01,2.4,2.75,3.25,1.11,-0.03,0.83,0.68,0.21,0.96
2022,0,1.04,0.63,0.24,-0.05,0.02,0.0,2.08,3.05,3.46,0.86,0.01,0.77,0.75,0.27,1.19
2023,0,1.42,1.0,0.43,#DIV/0!,0.02,0.02,3.11,4.08,5.76,1.85,0.21,0.72,1.13,0.47,2.26
2017,0,1.01,0.33,0.29,-0.05,,,2.11,3.9,4.15,0.97,0.02,0.78,0.7,0.32,1.41
2018,0,0.8,0.42,0.22,-0.08,-0.03,-0.02,1.63,3.64,3.31,0.85,-0.04,0.85,0.71,0.26,0.64
2019,0,1.12,0.75,0.37,-0.03,0.04,-0.01,2.89,4.08,4.5,1.72,-0.1,0.76,0.89,0.41,1.67
2020,0,1.47,1.3,0.53,0.02,0.04,0.03,3.54,4.83,5.56,2.06,0.17,0.63,1.15,0.49,1.84
2021,0,1.13,0.56,0.2,-0.01,-0.0,0.01,2.41,3.76,4.55,1.03,0.07,0.72,,0.39,1.21
2022,0,1.4,1.04,0.53,0.01,0.02,,2.78,4.47,4.66,1.74,0.14,0.73,1.07,0.43,1.95
2023,0,1.07,0.9,0.31,0.02,0.02,0.03,2.64,3.83,4.75,1.41,0.07,0.75,0.91,0.44,1.68
2017,0,1.77,1.33,0.54,0.03,0.05,0.06,3.48,5.32,5.54,2.25,0.2,0.65,1.08,0.49,2.84
2018,0,1.54,0.91,0.56,-0.04,0.03,0.03,2.82,4.22,4.8,1.72,0.05,0.73,1.0,0.47,1.76
2019,0,1.17,0.63,0.32,-0.02,-0.0,0.03,2.46,3.77,4.73,1.32,0.0,0.74,0.93,0.44,1.37
2020,0,1.01,0.67,0.28,-0.04,0.01,0.04,2.68,3.3,4.26,1.31,0.03,0.74,0.83,0.38,1.12
2021,0,1.18,0.79,0.35,0.05,-0.01,0.02,3.12,3.55,4.14,1.1,0.17,0.67,0.94,0.32,1.32
2022,0,1.76,1.45,0.61,-0.01,0.04,0.05,3.13,4.5,5.52,2.04,0.13,0.61,1.21,0.49,2.38
2023,0,1.16,0.89,0.32,-0.03,0.0,0.0,2.41,4.14,,1.08,-0.01,0.72,0.89,0.41,1.64
2017,0,1.05,0.73,0.29,-0.03,-0.0,-0.0,2.85,3.99,4.32,1.72,-0.02,0.79,0.86,0.37,1.71
2018,1,1.71,1.35,0.59,0.08,0.04,0.07,3.23,5.55,6.08,2.0,0.22,0.69,1.07,0.52,2.19
2019,0,0.69,0.39,0.22,-0.0,0.0,0.03,2.03,3.09,3.59,0.99,-0.02,0.79,0.63,0.21,1.12
2020,1,2.06,1.63,0.8,0.12,0.06,0.1,4.22,5.88,6.04,2.45,0.25,0.6,1.3,0.68,3.07
2021,1,2.13,1.58,0.79,0.14,0.09,0.14,4.32,6.64,7.29,2.66,0.41,0.56,1.45,0.71,3.73
2022,1,2.29,1.58,0.74,0.07,,0.08,4.0,5.17,6.46,2.38,0.38,0.56,1.36,0.65,
2023,1,1.88,1.34,0.6,0.06,0.04,0.07,4.0,4.66,6.88,2.31,0.13,0.63,1.23,0.53,2.95
2017,0,1.13,0.78,0.3,-0.0,0.01,-0.02,2.59,3.64,4.89,1.41,0.02,0.78,0.77,0.32,1.34
2018,0,1.26,0.89,0.4,0.01,0.02,,2.64,4.01,5.03,1.64,0.05,0.74,0.9,0.4,2.1
2019,0,1.45,1.16,0.53,0.07,0.05,0.02,3.6,5.25,5.81,1.59,0.13,0.73,0.97,0.39,2.24
2020,0,0.81,0.6,0.28,0.01,0.01,0.01,2.72,4.15,4.55,0.87,0.0,0.81,0.93,0.36,1.1
2021,0,1.26,0.85,0.21,0.02,0.01,-0.01,2.27,3.37,5.04,1.45,,0.78,0.86,0.36,1.05
2022,0,1.13,,0.47,0.01,0.0,-0.0,2.93,4.22,4.59,1.74,0.16,0.75,0.98,0.39,1.8
2023,0,0.94,0.98,0.45,-0.01,0.01,0.03,3.05,4.55,4.45,1.48,0.07,0.69,0.95,0.37,1.96
2017,1,1.73,1.47,0.69,0.02,0.04,0.07,4.28,5.64,5.13,2.19,0.27,0.6,1.16,0.54,2.71
2018,1,1.5,1.16,0.42,0.03,0.03,0.04,3.16,4.89,5.0,1.66,0.03,0.64,1.05,0.45,2.33
2019,1,2.54,1.85,1.04,0.1,0.1,0.11,5.22,6.95,7.57,,0.36,0.47,1.57,0.72,3.73
2020,1,2.26,1.44,0.67,0.07,0.07,0.07,3.77,5.67,5.87,2.58,0.32,0.58,1.31,0.58,2.98
2021,1,1.96,1.51,0.75,0.04,0.05,0.07,4.18,5.15,5.32,1.95,0.27,0.67,1.14,0.52,2.51
2022,1,1.48,1.15,0.36,0.01,0.03,0.04,3.07,4.25,5.02,1.75,0.07,0.68,1.08,0.44,1.43
2023,1,2.06,1.75,0.79,0.15,0.09,0.12,4.88,6.48,6.74,2.67,0.38,0.53,1.37,0.68,3.4
2017,0,1.1,1.03,0.39,-0.02,0.03,0.02,3.42,3.98,4.15,1.59,,0.81,1.18,0.34,1.74
2018,0,1.07,0.7,0.14,-0.0,0.0,-0.04,1.87,4.16,,1.15,-0.05,0.81,0.74,0.34,1.31
2019,0,1.08,0.91,0.42,#DIV/0!,0.0,0.02,2.94,4.57,4.26,1.43,0.22,0.67,0.78,0.34,1.99
2020,0,0.88,0.72,0.35,-0.09,0.0,-0.02,2.58,3.22,4.21,1.59,-0.04,0.74,0.81,,1.18
2021,0,1.1,0.71,0.36,-0.02,0.02,0.03,2.94,4.15,3.81,1.6,0.06,0.77,0.88,,1.35
2022,0,0.65,0.72,0.27,-0.0,0.03,0.04,2.69,3.25,4.01,1.26,0.04,0.76,0.81,0.3,1.26
2023,0,0.98,0.74,0.31,0.01,-0.01,0.02,2.86,4.0,3.44,0.93,0.01,0.84,0.8,0.31,1.2
2017,1,2.11,1.8,0.78,0.1,0.09,0.08,4.82,6.3,6.76,2.55,0.23,0.56,1.37,0.69,3.54
2018,1,2.26,1.58,0.78,0.15,0.08,0.08,4.55,5.53,6.14,2.82,0.35,0.58,1.47,0.68,3.57
2019,1,1.97,1.92,0.84,0.08,0.1,0.1,4.65,6.1,7.45,2.66,0.32,0.6,1.48,0.73,3.56
2020,1,2.15,1.61,0.74,0.11,0.08,0.1,4.49,6.2,6.58,2.48,0.32,0.57,,0.59,3.3
2021,1,1.91,1.43,0.79,0.09,0.08,0.07,4.09,5.45,6.39,2.5,0.27,0.65,,0.63,2.89
2022,1,1.77,1.44,0.58,0.11,0.04,0.04,3.92,6.06,6.09,2.3,0.3,0.6,1.36,0.58,2.9
2023,1,2.2,1.67,0.82,0.09,0.06,0.12,4.4,5.78,6.12,2.52,0.37,0.57,1.31,0.64,
2017,0,1.21,0.72,0.28,-0.02,-0.0,-0.02,1.98,3.44,5.24,1.42,0.13,0.75,0.83,0.43,1.58
2018,0,1.0,0.52,0.15,0.04,-0.01,0.0,2.15,2.72,4.08,1.29,-0.11,0.82,0.76,0.28,0.97
2019,1,2.17,1.64,0.82,#DIV/0!,0.09,0.12,4.51,6.06,6.36,2.59,0.33,0.54,1.34,0.59,3.06
2020,1,1.95,1.4,0.68,0.07,0.04,0.1,4.34,5.29,5.61,2.5,0.19,0.61,1.25,0.63,3.19
2021,1,1.37,1.55,0.47,0.03,0.01,0.05,3.59,4.91,5.78,2.02,0.23,0.61,1.15,0.5,2.43
2022,0,1.11,1.03,0.37,0.0,0.05,0.06,2.66,3.85,4.37,1.88,0.06,0.67,1.05,0.45,2.43
2023,1,1.99,1.66,0.78,0.1,0.06,0.07,4.49,6.49,5.95,2.42,0.36,0.59,1.39,0.62,2.86
2017,1,2.43,1.71,0.89,0.13,0.09,0.14,4.78,7.09,7.74,2.92,0.43,0.49,1.48,0.75,3.75
2018,1,2.37,1.65,0.88,0.11,0.08,0.1,4.61,6.21,7.29,2.75,0.41,0.52,1.5,0.75,3.62
2019,1,2.06,1.67,0.74,0.11,0.08,0.07,3.93,6.03,6.57,2.27,0.26,0.57,1.32,0.66,3.36
2020,1,2.16,1.77,0.81,0.09,0.08,0.1,4.81,6.22,7.53,2.45,0.43,0.54,1.42,0.69,3.71
2021,1,1.86,1.54,0.62,0.02,0.07,0.06,4.17,,6.32,2.3,0.3,0.59,1.32,0.54,3.22
2022,1,2.13,1.48,0.82,0.06,0.06,0.09,4.44,5.85,6.83,2.28,0.41,0.57,1.31,0.7,2.97
2023,1,1.94,1.44,0.68,0.04,0.07,0.07,4.2,5.27,6.4,2.16,0.2,0.69,1.05,0.69,2.96
2017,1,1.66,1.47,0.68,0.07,0.06,0.1,4.24,5.65,6.37,2.31,0.2,0.67,1.24,0.53,2.55
2018,1,1.65,1.31,0.71,0.04,0.04,0.08,3.9,5.87,6.11,2.04,0.19,0.62,1.06,0.54,2.69
2019,1,2.18,1.82,0.74,0.1,0.1,0.07,4.17,6.6,6.94,2.54,0.28,0.56,1.4,0.67,3.11
2020,1,1.77,1.39,0.61,0.06,0.03,0.06,4.22,5.07,6.5,2.44,0.31,0.62,1.23,0.59,3.18
2021,1,2.11,1.94,0.85,0.15,0.05,0.08,4.92,6.38,6.69,2.98,0.33,0.59,1.44,0.65,3.42
2022,1,2.07,1.83,0.89,0.09,0.09,0.08,5.11,6.29,7.32,2.85,0.28,0.57,1.4,0.71,3.3
2023,1,1.91,1.52,0.67,0.06,0.06,0.07,3.98,5.29,6.33,1.79,0.13,0.66,1.21,0.6,2.63
2017,1,2.42,1.82,0.9,0.12,0.09,0.11,5.48,7.0,7.56,2.96,0.43,0.54,1.62,0.73,3.67
2018,1,1.94,1.38,0.66,#DIV/0!,0.06,0.06,4.24,4.71,6.28,1.92,0.21,0.64,1.08,0.58,2.46
